recipe_id,professional_base_region,professional_base_country,geographic_evidence_status
PR-0001,NORTH AMERICA,United States,VALIDATED FROM PROFESSIONAL OR VENUE IDENTITY
PR-0002,NORTH AMERICA,United States,VALIDATED FROM PROFESSIONAL OR VENUE IDENTITY
PR-0003,NORTH AMERICA,United States,VALIDATED FROM PROFESSIONAL OR VENUE IDENTITY
PR-0004,GLOBAL / NOT REGION-SPECIFIC,UNKNOWN,GLOBAL TRAINING PLATFORM
PR-0005,GLOBAL / NOT REGION-SPECIFIC,UNKNOWN,GLOBAL TRAINING PLATFORM
PR-0006,UNKNOWN,UNKNOWN,NOT YET VALIDATED
PR-0007,NORTH AMERICA,United States,VALIDATED FROM VENUE IDENTITY
PR-0008,GLOBAL / NOT REGION-SPECIFIC,UNKNOWN,COMPETITION PLATFORM; CREATOR LOCATION UNRESOLVED
PR-0009,NORTH AMERICA,United States,VALIDATED FROM VENUE IDENTITY
PR-0010,UNKNOWN,UNKNOWN,NOT YET VALIDATED
PR-0011,GLOBAL / NOT REGION-SPECIFIC,UNKNOWN,GLOBAL TRAINING PLATFORM
PR-0012,UNKNOWN,UNKNOWN,NOT YET VALIDATED
PR-0013,NORTH AMERICA,United States,VALIDATED FROM OPERATOR IDENTITY
PR-0014,NORTH AMERICA,United States,VALIDATED FROM OPERATOR IDENTITY
PR-0015,EUROPE,Ireland,VALIDATED FROM BRAND IDENTITY
PR-0016,NORTH AMERICA,United States,VALIDATED FROM OPERATOR IDENTITY
PR-0017,EUROPE,United Kingdom,VALIDATED FROM OPERATOR IDENTITY
PR-0018,EUROPE,France,VALIDATED FROM MANUFACTURER IDENTITY
PR-0019,EUROPE,France,VALIDATED FROM MANUFACTURER IDENTITY
PR-0020,EUROPE,France,VALIDATED FROM MANUFACTURER IDENTITY
PR-0021,UNKNOWN,UNKNOWN,NOT YET VALIDATED
PR-0022,OCEANIA,New Zealand,VALIDATED FROM PROFESSIONAL OR VENUE IDENTITY
PR-0023,EUROPE,France,VALIDATED FROM MANUFACTURER IDENTITY
PR-0024,EUROPE,France,VALIDATED FROM MANUFACTURER IDENTITY
PR-0025,NORTH AMERICA,United States,VALIDATED FROM MANUFACTURER IDENTITY
PR-0026,EUROPE,Germany,VALIDATED FROM OPERATOR IDENTITY
PR-0027,EUROPE,France,VALIDATED FROM MANUFACTURER IDENTITY
PR-0028,NORTH AMERICA,United States,VALIDATED FROM MANUFACTURER IDENTITY
PR-0029,ASIA,Japan,VALIDATED FROM OPERATOR AND AUTHOR IDENTITY
PR-0030,ASIA,Japan,VALIDATED FROM OPERATOR IDENTITY
PR-0031,ASIA,Japan,VALIDATED FROM MANUFACTURER IDENTITY
PR-0032,ASIA,Japan,VALIDATED FROM OPERATOR IDENTITY
