batch_id,cordial,formulation_version,provenance_classification,date,status,measured_yield_g,measured_yield_ml,measured_ph,measured_brix,record_path
B-20260830-PUMPMAT-V01-01,Pumpkin Matcha Sauce / PB-001,V01,ADAPTATION OF SOURCED RECIPE,2026-08-30,SUPERSEDED BEFORE EXECUTION,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260830-PUMPMAT-V01-01.md
B-20260830-PUMPMAT-V02-01,Pumpkin Matcha Sauce / PB-001,V02,ADAPTATION OF SOURCED RECIPE,2026-08-30,SUPERSEDED BEFORE EXECUTION — DUAL-FORMAT PUMPKIN DECISION,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260830-PUMPMAT-V02-01.md
B-20260904-PUMPPURE-V01-01,Pumpkin Glass-Cling Purée Preparation / PB-001,PUREE-V01,ADAPTATION OF SOURCED RECIPE,2026-09-04,SUPERSEDED BEFORE EXECUTION — IMPRACTICAL CAFÉ SCALE,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260904-PUMPPURE-V01-01.md
B-20260904-PUMPSYR-V01-01,Pumpkin Spice Syrup / PB-001,SYRUP-V01,EXACT SOURCED RECIPE,2026-09-04,SUPERSEDED BEFORE EXECUTION — OSTMANN-BLEND ADAPTATION SELECTED,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260904-PUMPSYR-V01-01.md
B-20260905-PUMPPURE-V02-01,Pumpkin Glass-Cling Purée Preparation / PB-001,PUREE-V02,ADAPTATION OF SOURCED RECIPE,2026-09-05,SUPERSEDED BEFORE EXECUTION — SUB-10 G SPOON RULE ADOPTED,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260905-PUMPPURE-V02-01.md
B-20260905-PUMPPURE-V03-01,Pumpkin Glass-Cling Purée Preparation / PB-001,PUREE-V03,ADAPTATION OF SOURCED RECIPE,2026-09-05,PLANNED — KORO PURÉE ARRIVED; PECTIN/THERMOMETER READINESS PENDING,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260905-PUMPPURE-V03-01.md
B-20260905-PUMPSYR-V02-01,Pumpkin Spice Syrup — Ostmann Adaptation / PB-001,SYRUP-V02,ADAPTATION OF SOURCED RECIPE,2026-09-05,PLANNED — KORO PURÉE ARRIVED; OSTMANN PACKET/MEASURES TO CONFIRM,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260905-PUMPSYR-V02-01.md
B-20260831-LYCH-V02-01,Lychee Glass-Cling Purée Preparation / PB-002,V02,ADAPTATION OF SOURCED RECIPE,2026-08-31,SUPERSEDED BEFORE EXECUTION — IMPRACTICAL CAFÉ SCALE,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260831-LYCH-V02-01.md
B-20260831-MANG-V02-01,Mango Glass-Cling Purée Preparation / PB-003,V02,ADAPTATION OF SOURCED RECIPE,2026-08-31,SUPERSEDED BEFORE EXECUTION — IMPRACTICAL CAFÉ SCALE,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260831-MANG-V02-01.md
B-20260905-LYCH-V03-01,Lychee Glass-Cling Purée Preparation / PB-002,V03,ADAPTATION OF SOURCED RECIPE,2026-09-05,SUPERSEDED BEFORE EXECUTION — SUB-10 G SPOON RULE ADOPTED,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260905-LYCH-V03-01.md
B-20260905-MANG-V03-01,Mango Glass-Cling Purée Preparation / PB-003,V03,ADAPTATION OF SOURCED RECIPE,2026-09-05,SUPERSEDED BEFORE EXECUTION — SUB-10 G SPOON RULE ADOPTED,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260905-MANG-V03-01.md
B-20260905-LYCH-V04-01,Lychee Glass-Cling Purée Preparation / PB-002,V04,ADAPTATION OF SOURCED RECIPE,2026-09-05,PLANNED — CANNED-INPUT MEASUREMENTS AND MATERIALS PENDING,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260905-LYCH-V04-01.md
B-20260905-MANG-V04-01,Mango Glass-Cling Purée Preparation / PB-003,V04,ADAPTATION OF SOURCED RECIPE,2026-09-05,PLANNED — MATERIALS PENDING,NOT MEASURED,NOT MEASURED,NOT MEASURED,NOT MEASURED,05_lab_notebook/batches/B-20260905-MANG-V04-01.md
