recipe_id,title,professional,venue,provenance_classification,primary_source_id,cordial_or_component,status,record_path
PR-0001,VinePair Yuzu Cordial,Jack Schramm,VinePair,EXACT SOURCED RECIPE,SRC-2026-001,Yuzu,VALIDATED WITH SOURCE CONTRADICTION,03_professional_recipes/records/PR-0001.md
PR-0002,Employees Only Wild Strawberry Cordial,Jason Kosmas and Dushan Zaric,Employees Only,EXACT SOURCED RECIPE,SRC-2026-003,Strawberry–Vanilla,VALIDATED,03_professional_recipes/records/PR-0002.md
PR-0003,Brian Elder Strawberry Cordial,Brian Elder,The Eddy,UNKNOWN,SRC-2026-004,Strawberry,QUARANTINED,03_professional_recipes/quarantine/PR-0003.md
PR-0004,Diageo Base Cordial — current web version,UNKNOWN,Diageo Bar Academy,EXACT SOURCED RECIPE,SRC-2026-007,Base cordial,VALIDATED VERSION SPECIFIC,03_professional_recipes/records/PR-0004.md
PR-0005,Diageo Peach Cordial — current web version,UNKNOWN,Diageo Bar Academy,EXACT SOURCED RECIPE,SRC-2026-007,Peach–Tea–Thyme,VALIDATED VERSION SPECIFIC,03_professional_recipes/records/PR-0005.md
PR-0006,The Sylvester Strawberry-Peach Cordial,UNKNOWN,The Sylvester,UNKNOWN,SRC-2026-009,Strawberry–Peach,QUARANTINED,03_professional_recipes/quarantine/PR-0006.md
PR-0007,Spago Salted Lychee Cordial,Adam George Fournier,Spago,EXACT SOURCED RECIPE,SRC-2026-010,Lychee,VALIDATED,03_professional_recipes/records/PR-0007.md
PR-0008,Shinhidaka Acidified Lychee Cordial,Dalton — full identity UNKNOWN,USBG Presents World Class,UNKNOWN,SRC-2026-011,Lychee,QUARANTINED,03_professional_recipes/quarantine/PR-0008.md
PR-0009,Pacific Cocktail Haven Pandan Cordial,Kevin Diedrich,Pacific Cocktail Haven,UNKNOWN,SRC-2026-013,Pandan,BENCHMARK VALIDATED — EXACT CONDITIONAL,03_professional_recipes/quarantine/PR-0009.md
PR-0010,Birds of Paradise Elote-Pandan Cordial,UNKNOWN,Birds of Paradise,UNKNOWN,SRC-2026-014,Pandan,QUARANTINED,03_professional_recipes/quarantine/PR-0010.md
PR-0011,Diageo Kaffir-Lime–Pandan Cordial,UNKNOWN,Diageo Bar Academy,UNKNOWN,SRC-2026-015,Pandan,QUARANTINED,03_professional_recipes/quarantine/PR-0011.md
PR-0012,Experimental Cocktail Club Mango Cordial,Nathalie Durrieu,Experimental Cocktail Club,UNKNOWN,SRC-2026-016,Mango,BENCHMARK VALIDATED — EXACT FAILED,03_professional_recipes/quarantine/PR-0012.md
PR-0013,Starbucks at Home Maple Pumpkin Sauce,UNKNOWN,Starbucks at Home,EXACT SOURCED RECIPE,SRC-2026-018,Pumpkin,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0013.md
PR-0014,Pampered Chef Pumpkin Spice Latte Syrup,UNKNOWN,Pampered Chef,EXACT SOURCED RECIPE,SRC-2026-019,Pumpkin,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0014.md
PR-0015,Jameson Pumpkin Syrup,UNKNOWN,Jameson Irish Whiskey,EXACT SOURCED RECIPE,SRC-2026-020,Pumpkin,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0015.md
PR-0016,Lucent Lychee Matcha Latte,Joanas and Haley,Matchaful,EXACT SOURCED RECIPE,SRC-2026-045,Lychee–Matcha,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0016.md
PR-0017,Mango Matcha Latte,Lisa Dawson,Clearspring,EXACT SOURCED RECIPE,SRC-2026-046,Mango–Matcha,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0017.md
PR-0018,Passion Fruit and Mango Coulis,Gaël Etrillard,Les Vergers Boiron,EXACT SOURCED RECIPE,SRC-2026-047,Mango,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0018.md
PR-0019,Lychee Confit / Compote,Les Vergers Boiron,Les Vergers Boiron,EXACT SOURCED RECIPE,SRC-2026-061,Lychee,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0019.md
PR-0020,Mango Confit / Compote,Les Vergers Boiron,Les Vergers Boiron,EXACT SOURCED RECIPE,SRC-2026-061,Mango,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0020.md
PR-0021,Mango Cordial with enzymes,Michal Dojčák,The Cocktail Balance,EXACT SOURCED RECIPE,SRC-2026-069,Mango cordial,VALIDATED SOURCE VERSION — SPECIALIST INPUTS REQUIRED,03_professional_recipes/records/PR-0021.md
PR-0022,Salted Lychee Cordial / Lychee & Avocado Highball,Barney Toy,Clipper / Cuisine Magazine,EXACT SOURCED RECIPE,SRC-2026-071,Lychee cordial,VALIDATED SOURCE VERSION — CAN-CONTENTS INTERPRETATION GATE,03_professional_recipes/records/PR-0022.md
PR-0023,Pistachio & Chaï,1883 Maison Routin,1883 Maison Routin,EXACT SOURCED RECIPE,SRC-2026-076,Pistachio application,VALIDATED APPLICATION SOURCE — NOT A HOUSE SYRUP FORMULA,03_professional_recipes/records/PR-0023.md
PR-0024,Hazelnut Old Fashioned,1883 Maison Routin,1883 Maison Routin,EXACT SOURCED RECIPE,SRC-2026-080,Roasted Hazelnut application,VALIDATED APPLICATION SOURCE — NOT A HOUSE SYRUP FORMULA,03_professional_recipes/records/PR-0024.md
PR-0025,Black Sesame Paste and Latte with Honey Matcha Cold Foam,Vitamix,Vitamix,EXACT SOURCED RECIPE,SRC-2026-081,Black Sesame preparation,VALIDATED SOURCE VERSION — WHOLE-GRAM OPERATIONAL ADAPTATION NOT YET WRITTEN,03_professional_recipes/records/PR-0025.md
PR-0026,Black Sesame Matcha Latte,Health Bar,Health Bar,EXACT SOURCED RECIPE,SRC-2026-083,Black Sesame–Matcha application,VALIDATED COMMERCIAL APPLICATION SOURCE — SPOON/RANGE UNITS RETAINED,03_professional_recipes/records/PR-0026.md
PR-0027,Pumpkin Confit / Compote,Les Vergers Boiron,Les Vergers Boiron,EXACT SOURCED RECIPE,SRC-2026-061,Pumpkin,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0027.md
PR-0028,Pumpkin Spice Syrup,Vitamix Commercial,Vita-Mix Corporation,EXACT SOURCED RECIPE,SRC-2026-086,Pumpkin,VALIDATED SOURCE VERSION,03_professional_recipes/records/PR-0028.md
PR-0029,Japanese Taste Black Sesame Matcha Latte,Megumi Moriya,Japanese Taste,EXACT SOURCED RECIPE,SRC-2026-087,Black Sesame–Matcha application,VALIDATED ASIAN COMMERCIAL SOURCE — PROPRIETARY SWEETENED MATCHA AND LOOSE SUGAR/ICE UNITS RETAINED,03_professional_recipes/records/PR-0029.md
PR-0030,Yunomi Black Sesame Matcha Latte,Sachiko Murata,Yunomi.life,EXACT SOURCED RECIPE,SRC-2026-088,Black Sesame–Matcha application,VALIDATED ASIAN COMMERCIAL SOURCE — POWDER INPUT ALTERNATIVES AND RANGES RETAINED,03_professional_recipes/records/PR-0030.md
